date,open,high,low,close,volume,dividends,splits
2012-02-22,116.14,116.39,115.74,115.94,124455300,0.0,0
2012-02-23,115.88,116.54,115.49,116.45,137704300,0.0,0
2012-02-24,116.71,116.94,116.45,116.71,105539100,0.0,0
2012-02-27,115.93,117.22,115.75,116.91,145728900,0.0,0
2012-02-28,116.94,117.38,116.71,117.25,129355900,0.0,0
2012-02-29,117.42,117.78,116.38,116.79,185934700,0.0,0
2012-03-01,117.03,117.61,116.71,117.39,145023500,0.0,0
2012-03-02,117.32,117.47,116.77,117.03,120638300,0.0,0
2012-03-05,116.85,116.94,116.16,116.56,140765000,0.0,0
2012-03-06,115.36,115.43,114.52,114.85,202129900,0.0,0
2012-03-07,115.12,115.84,115.01,115.65,143692200,0.0,0
2012-03-08,116.36,117.04,116.12,116.8,116968900,0.0,0
2012-03-09,117.03,117.56,116.88,117.26,122836800,0.0,0
2012-03-12,117.24,117.42,116.85,117.26,104003500,0.0,0
2012-03-13,117.89,119.44,117.7,119.38,184090500,0.0,0
2012-03-14,119.41,119.71,118.88,119.25,145163600,0.0,0
2012-03-15,119.43,119.99,119.12,119.94,165118500,0.0,0
2012-03-16,120.16,120.26,119.85,120.11,152893500,0.614,0
2012-03-19,120.03,120.95,119.94,120.58,125291100,0.0,0
2012-03-20,119.89,120.37,119.54,120.23,121729700,0.0,0
2012-03-21,120.29,120.41,119.78,120.03,122388400,0.0,0
2012-03-22,119.15,119.46,118.77,119.16,135216700,0.0,0
2012-03-23,119.27,119.69,118.61,119.55,120521000,0.0,0
2012-03-26,120.41,121.23,120.36,121.23,120164000,0.0,0
2012-03-27,121.34,121.42,120.77,120.85,119868500,0.0,0
2012-03-28,120.79,120.98,119.54,120.25,148562100,0.0,0
2012-03-29,119.54,120.27,119.07,120.05,164963700,0.0,0
2012-03-30,120.64,120.75,119.89,120.54,135486800,0.0,0
2012-04-02,120.4,121.74,120.16,121.42,151741100,0.0,0
2012-04-03,121.25,121.46,120.22,120.93,155806700,0.0,0
2012-04-04,120.04,120.14,119.28,119.73,146896000,0.0,0
2012-04-05,119.32,120.02,119.22,119.67,137439400,0.0,0
2012-04-09,118.16,119.71,118.0,118.33,127555900,0.0,0
2012-04-10,118.09,118.43,116.22,116.34,235360300,0.0,0
2012-04-11,117.53,117.74,117.07,117.28,154133000,0.0,0
2012-04-12,117.39,118.91,117.31,118.81,154321500,0.0,0
2012-04-13,118.54,118.84,117.29,117.4,169246700,0.0,0
2012-04-16,118.0,118.17,116.92,117.32,147825300,0.0,0
2012-04-17,118.0,119.3,117.88,119.06,147877600,0.0,0
2012-04-18,118.53,119.06,118.46,118.66,123884200,0.0,0
2012-04-19,118.68,119.12,117.34,117.9,198666700,0.0,0
2012-04-20,118.42,118.85,118.03,118.09,143199600,0.0,0
2012-04-23,116.89,117.2,116.37,117.1,171844900,0.0,0
2012-04-24,117.2,117.85,117.11,117.55,137484200,0.0,0
2012-04-25,118.69,119.21,118.59,119.16,150252200,0.0,0
2012-04-26,118.9,120.12,118.83,119.99,136291600,0.0,0
2012-04-27,120.35,120.53,119.68,120.18,130725000,0.0,0
2012-04-30,119.94,120.03,119.41,119.74,115092200,0.0,0
2012-05-01,119.67,121.27,119.53,120.48,138832200,0.0,0
2012-05-02,119.78,120.24,119.39,120.12,121081000,0.0,0
2012-05-03,120.14,120.23,118.98,119.21,143759700,0.0,0
2012-05-04,118.58,119.25,117.21,117.28,193927300,0.0,0
2012-05-07,116.86,117.76,116.82,117.37,127765900,0.0,0
2012-05-08,116.66,117.08,115.5,116.9,213377700,0.0,0
2012-05-09,115.65,116.95,115.13,116.2,220752500,0.0,0
2012-05-10,117.01,117.15,116.18,116.44,150600000,0.0,0
2012-05-11,115.71,117.17,115.66,116.09,153032400,0.0,0
2012-05-14,114.98,116.09,114.64,114.81,163910000,0.0,0
2012-05-15,114.73,115.41,113.97,114.15,207629300,0.0,0
2012-05-16,114.66,115.18,113.69,113.71,207265500,0.0,0
2012-05-17,113.74,113.87,111.97,112.03,247992900,0.0,0
2012-05-18,112.46,112.66,110.9,111.07,319615900,0.0,0
2012-05-21,111.43,113.02,111.25,112.98,177861100,0.0,0
2012-05-22,113.27,114.05,112.44,113.17,197531200,0.0,0
2012-05-23,112.36,113.39,111.28,113.23,204958400,0.0,0
2012-05-24,113.54,113.72,112.5,113.45,167357600,0.0,0
2012-05-25,113.41,113.73,112.81,113.09,135465600,0.0,0
2012-05-29,113.99,114.65,112.29,114.46,152883500,0.0,0
2012-05-30,113.48,114.45,112.56,112.8,162370400,0.0,0
2012-05-31,112.75,113.39,111.58,112.55,196186000,0.0,0
2012-06-01,110.78,112.57,109.71,109.71,253240900,0.0,0
2012-06-04,109.91,110.21,108.84,109.66,202545800,0.0,0
